branch_id,branch_name,address_line1,city,state,country,region,active_flag,created_at
BR0001,North Judithbury Banking Center,18196 Anthony Forge,New Carolyn,NY,US,NORTHEAST,Y,2017-05-09 14:15:14
BR0002,Lake Debra Banking Center,79402 Peterson Drives Apt. 511,Davisstad,FL,US,SOUTHEAST,Y,2017-09-19 08:37:27
BR0003,Lindsaymouth Banking Center,1849 Ray Squares,North Donnaport,NY,US,NORTHEAST,Y,2020-12-26 12:14:32
BR0004,Port Jesseville Banking Center,7525 Clark Grove Apt. 928,East Steven,TX,US,SOUTHWEST,Y,2018-05-13 12:45:41
BR0005,Veronicaside Banking Center,503 Linda Locks,Carlshire,UT,US,SOUTHWEST,Y,2020-04-10 20:37:17
BR0006,Jasonfort Banking Center,724 John Points Suite 969,Coxberg,MA,US,NORTHEAST,Y,2017-08-06 19:21:17
BR0007,Daviston Banking Center,26916 Carlson Mountain,Tashatown,GA,US,SOUTHEAST,Y,2017-03-25 16:06:05
BR0008,Lake Nicoleview Banking Center,46270 Stanton Track Apt. 814,East Nathaniel,CA,US,WEST,Y,2019-07-01 17:38:16
BR0009,New Stephanie Banking Center,570 Sarah Wells,Johnbury,NJ,US,NORTHEAST,Y,2018-07-03 09:59:24
BR0010,North Jessicaland Banking Center,78248 Brandt Plains,Lake Larry,PA,US,NORTHEAST,Y,2019-11-13 17:36:12
BR0011,Samuelhaven Banking Center,33150 Brianna Avenue Apt. 031,Port Markhaven,NY,US,NORTHEAST,Y,2017-10-20 13:49:18
BR0012,West Elizabeth Banking Center,299 Sanchez Mountains,Leeville,MA,US,NORTHEAST,Y,2020-12-11 18:17:29
BR0013,Gomezchester Banking Center,010 Chandler Union Apt. 333,Taylorburgh,OH,US,MIDWEST,Y,2019-06-08 17:13:42
BR0014,Stevenland Banking Center,108 Tanya Terrace Apt. 267,Lewisfurt,IL,US,MIDWEST,Y,2018-02-04 11:34:46
BR0015,East Nicholasfurt Banking Center,4687 James Forge Apt. 980,Brianshire,GA,US,SOUTHEAST,Y,2018-12-02 18:17:59
BR0016,Shawhaven Banking Center,81219 Emma Freeway,Wilsonshire,NM,US,SOUTHWEST,Y,2017-09-02 16:53:49
BR0017,New Brooke Banking Center,9985 Harris Stravenue,Johnfurt,MA,US,NORTHEAST,Y,2021-05-01 16:25:17
BR0018,Lake Debbie Banking Center,1079 Charles Forest Suite 251,West Justin,MA,US,NORTHEAST,Y,2018-05-01 16:13:41
BR0019,Bassport Banking Center,841 Joseph Coves,West Juan,NV,US,WEST,Y,2017-11-27 20:09:16
BR0020,Lake Matthew Banking Center,740 Cynthia Village Suite 005,Lake Tina,GA,US,SOUTHEAST,Y,2017-05-02 14:47:37
